time	V(vin)	V(vout)	V(n004)
2.679144104388367e-007	4.999984e+000	-1.207477e+000	-1.495545e+000
2.795916581995947e-007	4.999983e+000	-1.207574e+000	-1.493208e+000
2.911839590857314e-007	4.999981e+000	-1.207669e+000	-1.491841e+000
3.041294288339859e-007	4.999979e+000	-1.207775e+000	-1.491156e+000
3.181154484038946e-007	4.999978e+000	-1.207891e+000	-1.490992e+000
3.278945500222175e-007	4.999976e+000	-1.207971e+000	-1.491081e+000
3.372729784137385e-007	4.999975e+000	-1.208048e+000	-1.491221e+000
3.486368170524910e-007	4.999973e+000	-1.208142e+000	-1.491342e+000
3.591222481301448e-007	4.999971e+000	-1.208228e+000	-1.491352e+000
3.985796533170771e-007	4.999965e+000	-1.208552e+000	-1.490278e+000
4.159745907094878e-007	4.999961e+000	-1.208695e+000	-1.489387e+000
4.453316121417854e-007	4.999956e+000	-1.208936e+000	-1.487705e+000
4.674610427457364e-007	4.999951e+000	-1.209118e+000	-1.486434e+000
4.883505307570757e-007	4.999947e+000	-1.209290e+000	-1.485312e+000
5.799874317445608e-007	4.999925e+000	-1.210042e+000	-1.481197e+000
6.592720387895747e-007	4.999904e+000	-1.210692e+000	-1.477771e+000
8.909685886527782e-007	4.999824e+000	-1.212587e+000	-1.467476e+000
1.000000000000133e-006	4.999778e+000	-1.213477e+000	-1.462641e+000
1.012218559909642e-006	4.999773e+000	-1.213577e+000	-1.462098e+000
1.036655679728660e-006	4.999762e+000	-1.213776e+000	-1.461012e+000
1.999999999999832e-006	4.999112e+000	-1.221586e+000	-1.418177e+000
4.000000000000097e-006	4.996448e+000	-1.237496e+000	-1.328859e+000
4.999999999999796e-006	4.994449e+000	-1.245295e+000	-1.284011e+000
5.999999999999929e-006	4.992008e+000	-1.252991e+000	-1.239042e+000
7.000000000000062e-006	4.989123e+000	-1.260581e+000	-1.193956e+000
8.063999999999901e-006	4.985567e+000	-1.268539e+000	-1.145860e+000
9.079999999990745e-006	4.981703e+000	-1.276025e+000	-1.099819e+000
