time	V(vin)	V(vout)
0.000000000000000e+000	-3.535534e+000	-9.519646e-003
1.999999992008394e-012	-3.535535e+000	-9.519643e-003
5.999999976025183e-012	-3.535536e+000	-9.519638e-003
8.999999964037775e-012	-3.535537e+000	-9.519634e-003
9.168672548617862e-012	-3.535537e+000	-9.519634e-003
9.506017934618471e-012	-3.535537e+000	-9.519633e-003
1.018070870661969e-011	-3.535538e+000	-9.519632e-003
1.153009003378169e-011	-3.535538e+000	-9.519630e-003
1.422885290494613e-011	-3.535539e+000	-9.519626e-003
1.962637843043458e-011	-3.535541e+000	-9.519619e-003
2.881982066188504e-011	-3.535544e+000	-9.519607e-003
3.890931392185049e-011	-3.535548e+000	-9.519594e-003
4.947992883475028e-011	-3.535552e+000	-9.519579e-003
6.107577659765495e-011	-3.535556e+000	-9.519563e-003
7.707639669736477e-011	-3.535561e+000	-9.519542e-003
1.009911440499195e-010	-3.535570e+000	-9.519510e-003
1.136550920651652e-010	-3.535574e+000	-9.519492e-003
1.225515565764224e-010	-3.535577e+000	-9.519480e-003
1.315994719881114e-010	-3.535580e+000	-9.519468e-003
1.418419548482319e-010	-3.535584e+000	-9.519454e-003
1.524353408256796e-010	-3.535588e+000	-9.519440e-003
1.736221129974153e-010	-3.535595e+000	-9.519411e-003
2.141005131430646e-010	-3.535609e+000	-9.519357e-003
2.348386554662518e-010	-3.535616e+000	-9.519329e-003
2.480790282401169e-010	-3.535621e+000	-9.519312e-003
2.563479986009837e-010	-3.535624e+000	-9.519300e-003
2.666991709941724e-010	-3.535628e+000	-9.519286e-003
2.743773400756128e-010	-3.535630e+000	-9.519275e-003
2.827288899959896e-010	-3.535633e+000	-9.519264e-003
2.994319898367431e-010	-3.535639e+000	-9.519242e-003
3.215647782772724e-010	-3.535647e+000	-9.519212e-003
3.444744533023791e-010	-3.535655e+000	-9.519181e-003
3.902938035694331e-010	-3.535671e+000	-9.519120e-003
4.361712516772615e-010	-3.535687e+000	-9.519057e-003
4.388515033142137e-010	-3.535688e+000	-9.519054e-003
4.442120063712779e-010	-3.535690e+000	-9.519046e-003
4.549330127022466e-010	-3.535693e+000	-9.519032e-003
4.763750253641841e-010	-3.535701e+000	-9.519003e-003
5.192590506880590e-010	-3.535716e+000	-9.518946e-003
5.629219165456667e-010	-3.535731e+000	-9.518887e-003
6.162588299905847e-010	-3.535750e+000	-9.518814e-003
6.875853111702746e-010	-3.535775e+000	-9.518718e-003
7.809352552644311e-010	-3.535807e+000	-9.518593e-003
8.998454060875349e-010	-3.535849e+000	-9.518432e-003
1.016854157950484e-009	-3.535890e+000	-9.518274e-003
1.148270119613604e-009	-3.535936e+000	-9.518097e-003
1.381329138962564e-009	-3.536017e+000	-9.517782e-003
1.627922918646593e-009	-3.536104e+000	-9.517450e-003
1.962243144229894e-009	-3.536221e+000	-9.516999e-003
2.299669268597884e-009	-3.536339e+000	-9.516544e-003
2.721507894477143e-009	-3.536486e+000	-9.515975e-003
3.133002472906210e-009	-3.536630e+000	-9.515420e-003
3.708917440748208e-009	-3.536832e+000	-9.514643e-003
4.403557249529552e-009	-3.537075e+000	-9.513706e-003
5.400521887327647e-009	-3.537423e+000	-9.512360e-003
6.751134716369289e-009	-3.537895e+000	-9.510539e-003
8.981848049170738e-009	-3.538675e+000	-9.507529e-003
1.263516056647547e-008	-3.539952e+000	-9.502601e-003
1.696015612087827e-008	-3.541463e+000	-9.496765e-003
2.295009375965530e-008	-3.543555e+000	-9.488683e-003
3.107055409788326e-008	-3.546388e+000	-9.477725e-003
4.061332570790867e-008	-3.549715e+000	-9.464847e-003
5.211187956480866e-008	-3.553720e+000	-9.449327e-003
6.206917676707113e-008	-3.557184e+000	-9.435886e-003
7.033800102041951e-008	-3.560058e+000	-9.424723e-003
7.738921961207221e-008	-3.562507e+000	-9.415203e-003
8.564773717610781e-008	-3.565373e+000	-9.404051e-003
9.351239650483810e-008	-3.568100e+000	-9.393430e-003
1.056402442825306e-007	-3.572301e+000	-9.377049e-003
