time	V(vo)
0.000000000000000e+000	4.999985e+000
4.599999954748910e-008	4.999985e+000
5.599999954748910e-008	4.999985e+000
6.599999954748909e-008	4.999985e+000
7.599999954748909e-008	4.999985e+000
8.599999954748909e-008	4.999985e+000
8.991503393309558e-008	4.999985e+000
9.253085524380856e-008	4.999985e+000
9.429496359043540e-008	4.999985e+000
9.588661981597546e-008	4.999985e+000
9.726022968096631e-008	4.999985e+000
9.859405769715911e-008	4.999985e+000
1.000658678796415e-007	4.999985e+000
1.015105554759354e-007	4.999985e+000
1.035387629390399e-007	4.999985e+000
1.063850851600185e-007	4.999983e+000
1.096587653519061e-007	4.999967e+000
1.132701279740528e-007	4.999752e+000
1.182915478752384e-007	4.993219e+000
1.233048870096441e-007	4.418228e+000
1.316599731976936e-007	2.359759e+000
1.419303820629265e-007	5.690215e-001
1.552189807680528e-007	1.621518e-002
1.708328012189213e-007	1.359927e-002
1.896353447046764e-007	1.359927e-002
2.130372686149370e-007	1.359927e-002
2.445629498227303e-007	1.359927e-002
2.869335611009062e-007	1.359927e-002
3.350602925536458e-007	1.359927e-002
3.994450439509718e-007	1.359927e-002
4.860798154863484e-007	1.359927e-002
6.307807773766114e-007	1.359927e-002
2.677011290528584e-006	1.359927e-002
4.723241803680556e-006	1.359927e-002
6.769472316832529e-006	1.359927e-002
8.815702829984502e-006	1.359927e-002
1.086193334313647e-005	1.359927e-002
1.290816385628845e-005	1.359927e-002
1.495439436944041e-005	1.359927e-002
1.701912651229756e-005	1.359927e-002
1.908385865515471e-005	1.359927e-002
2.114859079801186e-005	1.359927e-002
2.321332294086901e-005	1.359927e-002
2.527805508372616e-005	1.359927e-002
2.734278722658331e-005	1.359927e-002
2.940751936944045e-005	1.359927e-002
3.002449233086624e-005	1.359927e-002
3.003449233086624e-005	6.997187e-002
3.004449233086624e-005	1.333252e+000
3.005449233086624e-005	3.730319e+000
3.006449233086624e-005	4.960166e+000
3.007449233086624e-005	4.999934e+000
3.008014450322601e-005	4.999982e+000
3.008815456450725e-005	4.999985e+000
3.009241435604528e-005	4.999985e+000
3.009617769247997e-005	4.999985e+000
3.010062474375641e-005	4.999985e+000
3.010844400594641e-005	4.999985e+000
3.012246161450586e-005	4.999985e+000
3.013604824540717e-005	4.999985e+000
