time	V(vo)
0.000000000000000e+000	4.999985e+000
4.599999954748910e-008	4.999985e+000
5.599999954748910e-008	4.999985e+000
6.599999954748909e-008	4.999985e+000
7.599999954748909e-008	4.999985e+000
8.126999388113913e-008	4.999985e+000
8.453287625864716e-008	4.999985e+000
8.668023219366559e-008	4.999985e+000
8.830439207936286e-008	4.999985e+000
8.968063069131746e-008	4.999985e+000
9.092518101568306e-008	4.999985e+000
9.215138571743874e-008	4.999985e+000
9.336694458992841e-008	4.999985e+000
9.486915761435905e-008	4.999985e+000
9.643407011915621e-008	4.999985e+000
9.821892224595524e-008	4.999985e+000
9.977138032093119e-008	4.999985e+000
1.015584665935063e-007	4.999985e+000
1.037257129808946e-007	4.999985e+000
1.075431527580328e-007	4.999979e+000
1.112383684422638e-007	4.999929e+000
1.155434808625181e-007	4.999831e+000
1.207569910608564e-007	4.962448e+000
1.259017041792566e-007	4.093056e+000
1.333178012316343e-007	1.974754e+000
1.454388690971039e-007	2.553469e-001
1.588317851683075e-007	1.363701e-002
1.726349557367900e-007	1.359927e-002
1.916136809687465e-007	1.359927e-002
2.124253482391676e-007	1.359927e-002
2.352986862043476e-007	1.359927e-002
2.810453621347076e-007	1.359927e-002
3.391264747745748e-007	1.359927e-002
4.043090607603552e-007	1.359927e-002
4.764290088856225e-007	1.359927e-002
5.648390839978868e-007	1.359927e-002
6.765902449462817e-007	1.359927e-002
6.955327506894046e-007	1.359927e-002
7.334177621756504e-007	1.359927e-002
7.526201267561330e-007	1.359927e-002
7.718224913366156e-007	1.359927e-002
7.910248559170982e-007	1.359927e-002
8.102272204975808e-007	1.359927e-002
8.294295850780634e-007	1.359927e-002
8.486319496585461e-007	1.359927e-002
8.678343142390286e-007	1.359927e-002
8.778343142390286e-007	6.997187e-002
8.878343142390286e-007	1.333252e+000
8.978343142390286e-007	3.730319e+000
9.078343142390287e-007	4.964108e+000
9.160284704069263e-007	4.999935e+000
9.212325869170011e-007	4.999985e+000
9.255319986446224e-007	4.999985e+000
9.313727586877306e-007	4.999985e+000
9.332162635917992e-007	4.999985e+000
9.344693279271566e-007	4.999985e+000
9.358528703279498e-007	4.999985e+000
9.374469502892826e-007	4.999985e+000
9.389699706005806e-007	4.999985e+000
9.410138300185204e-007	4.999985e+000
