time	V(vo)
0.000000000000000e+000	4.999985e+000
4.599999954748910e-008	4.999985e+000
5.599999954748910e-008	4.999985e+000
6.599999954748909e-008	4.999985e+000
7.599999954748909e-008	4.999985e+000
8.444096235266735e-008	4.999985e+000
8.812600886628997e-008	4.999985e+000
9.056004730160258e-008	4.999985e+000
9.212413130576274e-008	4.999985e+000
9.335854066777238e-008	4.999985e+000
9.447999024811825e-008	4.999985e+000
9.561012979357404e-008	4.999985e+000
9.666869087748777e-008	4.999985e+000
9.806319805613220e-008	4.999985e+000
9.961963970321622e-008	4.999985e+000
1.016565974519258e-007	4.999985e+000
1.049152785025345e-007	4.999985e+000
1.078596624080826e-007	4.999980e+000
1.106728846979875e-007	4.999960e+000
1.139884960112275e-007	4.999848e+000
1.180163203309336e-007	4.995430e+000
1.229100160563021e-007	4.799641e+000
1.285790901955967e-007	3.519691e+000
1.353514809080999e-007	1.382456e+000
1.447454115316911e-007	1.107770e-001
1.593463442259473e-007	1.381149e-002
1.783495700924138e-007	1.359927e-002
1.956695522389628e-007	1.359927e-002
2.204453701962145e-007	1.359927e-002
2.438144183524182e-007	1.359927e-002
2.809489628086639e-007	1.359927e-002
4.647046655263315e-006	1.359927e-002
9.013144347717966e-006	1.359927e-002
1.337924204017262e-005	1.359927e-002
1.774533973262727e-005	1.359927e-002
2.211143742508192e-005	1.359927e-002
2.647753511753657e-005	1.359927e-002
3.084363280999121e-005	1.359927e-002
3.525211495284833e-005	1.359927e-002
3.966059709570545e-005	1.359927e-002
4.406907923856257e-005	1.359927e-002
4.847756138141969e-005	1.359927e-002
5.288604352427680e-005	1.359927e-002
5.729452566713392e-005	1.359927e-002
6.170300780999103e-005	1.359927e-002
6.622309709570529e-005	1.359927e-002
7.074318638141956e-005	1.359927e-002
7.526327566713382e-005	1.359927e-002
7.978336495284807e-005	1.359927e-002
8.430345423856233e-005	1.359927e-002
8.882354352427658e-005	1.359927e-002
9.334363280999084e-005	1.359927e-002
9.536849360623804e-005	1.359927e-002
9.739335440248523e-005	1.359927e-002
9.941821519873243e-005	1.359927e-002
1.014430759949796e-004	1.359927e-002
1.034679367912268e-004	1.359927e-002
1.054927975874740e-004	1.359927e-002
1.075176583837212e-004	1.359927e-002
1.075276583837212e-004	6.997187e-002
