time	V(vo)
0.000000000000000e+000	4.999985e+000
4.599999954748910e-008	4.999985e+000
5.599999954748910e-008	4.999985e+000
6.599999954748909e-008	4.999985e+000
7.599999954748909e-008	4.999985e+000
8.125612771365033e-008	4.999985e+000
8.452089503071967e-008	4.999985e+000
8.667536041538030e-008	4.999985e+000
8.831204049220135e-008	4.999985e+000
8.970247980973612e-008	4.999985e+000
9.097529617148232e-008	4.999985e+000
9.226315816014679e-008	4.999985e+000
9.347779550765429e-008	4.999985e+000
9.503598169201775e-008	4.999985e+000
9.668009945736857e-008	4.999985e+000
9.858517130324978e-008	4.999985e+000
1.007028489971884e-007	4.999985e+000
1.025807213660079e-007	4.999985e+000
1.047986644726474e-007	4.999985e+000
1.071090184481624e-007	4.999983e+000
1.095830215821668e-007	4.999972e+000
1.123260666443360e-007	4.999921e+000
1.154213437296587e-007	4.999562e+000
1.188445356426019e-007	4.995237e+000
1.227563917607780e-007	4.706112e+000
1.298641076661603e-007	3.220763e+000
1.409311469525370e-007	9.923092e-001
1.558259348213899e-007	1.827135e-002
1.734493724107072e-007	1.359927e-002
1.916878907304859e-007	1.359927e-002
2.139375659853025e-007	1.359927e-002
2.390997649763835e-007	1.359927e-002
2.846587916211178e-007	1.359927e-002
4.355796327889540e-006	1.359927e-002
8.426933864157964e-006	1.359927e-002
1.249807140042639e-005	1.359927e-002
1.656920893669481e-005	1.359927e-002
2.064034647296323e-005	1.359927e-002
2.471148400923166e-005	1.359927e-002
2.878262154550007e-005	1.359927e-002
3.291208583121433e-005	1.359927e-002
3.704155011692860e-005	1.359927e-002
4.117101440264286e-005	1.359927e-002
4.530047868835712e-005	1.359927e-002
4.942994297407139e-005	1.359927e-002
5.355940725978565e-005	1.359927e-002
5.768887154549991e-005	1.359927e-002
5.807949654549991e-005	1.359927e-002
5.809780709237490e-005	1.359927e-002
5.842600747079288e-005	1.359927e-002
5.843600747079288e-005	6.997187e-002
5.844600747079288e-005	1.333252e+000
5.845600747079288e-005	3.730319e+000
5.846600747079288e-005	4.969004e+000
5.847236504828138e-005	4.999970e+000
5.847280919059011e-005	4.999965e+000
5.847369747520755e-005	4.999940e+000
5.847547404444245e-005	4.999959e+000
5.847815589954546e-005	4.999985e+000
5.848047608941395e-005	4.999985e+000
