time	V(vo)
0.000000000000000e+000	4.999985e+000
4.599999954748910e-008	4.999985e+000
5.599999954748910e-008	4.999985e+000
6.599999954748909e-008	4.999985e+000
7.599999954748909e-008	4.999985e+000
8.442704819019743e-008	4.999985e+000
8.810729800237393e-008	4.999985e+000
9.053274285805533e-008	4.999985e+000
9.209647667019515e-008	4.999985e+000
9.334525228854088e-008	4.999985e+000
9.443815215441744e-008	4.999985e+000
9.550897396572832e-008	4.999985e+000
9.657160572171769e-008	4.999985e+000
9.793915254114464e-008	4.999985e+000
9.943771633880763e-008	4.999985e+000
1.013526620282709e-007	4.999985e+000
1.038811926233751e-007	4.999985e+000
1.072313628150827e-007	4.999982e+000
1.103681982796055e-007	4.999965e+000
1.141543224164652e-007	4.999897e+000
1.189266055464767e-007	4.950825e+000
1.267260496530766e-007	3.918506e+000
1.391681559649114e-007	1.213365e+000
1.515247533331312e-007	2.552441e-002
1.664252591988612e-007	1.359927e-002
1.830152919802105e-007	1.359927e-002
2.060245082314414e-007	1.359927e-002
2.349331100425890e-007	1.359927e-002
2.788098247584690e-007	1.359927e-002
3.451558078696812e-007	1.359927e-002
4.402609531782841e-007	1.359927e-002
5.387900491973299e-007	1.359927e-002
6.629105581499389e-007	1.359927e-002
8.048947639622786e-007	1.359927e-002
1.003269975452795e-006	1.359927e-002
1.257975639768237e-006	1.359927e-002
1.648600639768237e-006	1.359927e-002
2.039225639768237e-006	1.359927e-002
2.429850639768237e-006	1.359927e-002
2.820475639768237e-006	1.359927e-002
3.211100639768237e-006	1.359927e-002
3.601725639768237e-006	1.359927e-002
3.992350639768237e-006	1.359927e-002
4.382975639768237e-006	1.359927e-002
4.773600639768238e-006	1.359927e-002
5.164225639768238e-006	1.359927e-002
5.554850639768238e-006	1.359927e-002
5.663588999492010e-006	1.359927e-002
5.772327359215782e-006	1.359927e-002
5.881065718939555e-006	1.359927e-002
5.989804078663327e-006	1.359927e-002
6.098542438387099e-006	1.359927e-002
6.207280798110871e-006	1.359927e-002
6.316019157834644e-006	1.359927e-002
6.326019157834643e-006	6.997187e-002
6.336019157834643e-006	1.333252e+000
6.346019157834643e-006	3.730319e+000
6.356019157834643e-006	4.971931e+000
6.361446725172540e-006	4.999936e+000
6.364785147551364e-006	4.999985e+000
