time	V(sin32)	V(vout)
1.988294047291193e-005	-3.938314e+000	4.332686e+000
1.991276424622530e-005	-3.937959e+000	4.333064e+000
1.995425278720196e-005	-3.937464e+000	4.333586e+000
2.000000000000005e-005	-3.936919e+000	4.334160e+000
2.000762246784252e-005	-3.936840e+000	4.334255e+000
2.002286740352744e-005	-3.936682e+000	4.334444e+000
2.005335727489730e-005	-3.936368e+000	4.334821e+000
2.011433701763700e-005	-3.935738e+000	4.335569e+000
2.018532545178622e-005	-3.935005e+000	4.336431e+000
2.026090095656762e-005	-3.934224e+000	4.337336e+000
2.036669754970372e-005	-3.933132e+000	4.338581e+000
2.052274540331875e-005	-3.931520e+000	4.340376e+000
2.067531841617835e-005	-3.929945e+000	4.342087e+000
2.081619460521833e-005	-3.928490e+000	4.343622e+000
2.098474293465080e-005	-3.926749e+000	4.345415e+000
2.102021584495027e-005	-3.926365e+000	4.345783e+000
2.106064753485066e-005	-3.925910e+000	4.346197e+000
2.114151091465164e-005	-3.925002e+000	4.347019e+000
2.115799402868418e-005	-3.924816e+000	4.347185e+000
2.119096025674947e-005	-3.924446e+000	4.347514e+000
2.125689271288006e-005	-3.923705e+000	4.348167e+000
2.127389743478953e-005	-3.923514e+000	4.348334e+000
2.129090215669900e-005	-3.923323e+000	4.348500e+000
2.130790687860847e-005	-3.923132e+000	4.348665e+000
2.132491160051794e-005	-3.922941e+000	4.348830e+000
2.134191632242741e-005	-3.922749e+000	4.348994e+000
2.135892104433687e-005	-3.922558e+000	4.349156e+000
2.137592576624634e-005	-3.922367e+000	4.349319e+000
2.148613358419127e-005	-3.921129e+000	4.350351e+000
2.170654922008090e-005	-3.918651e+000	4.352339e+000
2.199999999999988e-005	-3.915353e+000	4.354889e+000
2.213224938153366e-005	-3.913780e+000	4.355954e+000
2.230858189024537e-005	-3.911683e+000	4.357314e+000
2.257883990896864e-005	-3.908469e+000	4.359281e+000
2.286544279514837e-005	-3.905060e+000	4.361238e+000
2.301950534588384e-005	-3.903275e+000	4.362227e+000
2.321713123448819e-005	-3.901396e+000	4.363395e+000
2.332037236329912e-005	-3.900414e+000	4.363973e+000
2.343881550897521e-005	-3.899289e+000	4.364603e+000
2.367570180032718e-005	-3.897037e+000	4.365775e+000
2.392993137830804e-005	-3.894620e+000	4.366942e+000
2.403492789656895e-005	-3.893146e+000	4.367382e+000
2.413992441482987e-005	-3.891599e+000	4.367796e+000
2.424492093309079e-005	-3.889979e+000	4.368185e+000
2.434991745135171e-005	-3.888287e+000	4.368548e+000
2.445491396961262e-005	-3.886522e+000	4.368885e+000
2.455991048787354e-005	-3.884684e+000	4.369197e+000
2.466490700613446e-005	-3.882774e+000	4.369483e+000
2.503395087131771e-005	-3.876657e+000	4.370375e+000
2.533095875086109e-005	-3.872432e+000	4.370861e+000
2.562720293867418e-005	-3.868219e+000	4.371163e+000
2.604841913223703e-005	-3.862184e+000	4.371314e+000
2.655119978320418e-005	-3.854578e+000	4.370976e+000
2.701244486246791e-005	-3.847541e+000	4.370273e+000
2.717906097555190e-005	-3.843996e+000	4.369898e+000
2.734567708863589e-005	-3.840592e+000	4.369469e+000
2.751229320171988e-005	-3.837329e+000	4.368987e+000
2.767890931480387e-005	-3.834207e+000	4.368451e+000
2.784552542788785e-005	-3.831225e+000	4.367861e+000
2.801214154097184e-005	-3.828384e+000	4.367219e+000
2.817875765405583e-005	-3.825684e+000	4.366522e+000
2.845860666940664e-005	-3.822383e+000	4.365219e+000
2.873845568475745e-005	-3.818745e+000	4.363763e+000
2.901830470010826e-005	-3.814771e+000	4.362156e+000
2.929815371545907e-005	-3.810461e+000	4.360397e+000
2.957800273080988e-005	-3.805814e+000	4.358487e+000
2.985785174616069e-005	-3.800831e+000	4.356425e+000
3.013770076151149e-005	-3.795511e+000	4.354211e+000
3.026597769305358e-005	-3.793201e+000	4.353134e+000
3.039425462459568e-005	-3.790888e+000	4.352031e+000
3.052253155613777e-005	-3.788570e+000	4.350901e+000
3.065080848767986e-005	-3.786250e+000	4.349746e+000
3.077908541922195e-005	-3.783925e+000	4.348565e+000
3.090736235076404e-005	-3.781597e+000	4.347357e+000
3.103563928230613e-005	-3.779265e+000	4.346123e+000
3.199999999999991e-005	-3.761005e+000	4.335757e+000
3.300342108751618e-005	-3.736341e+000	4.323171e+000
3.308663651180903e-005	-3.735066e+000	4.322047e+000
3.316985193610189e-005	-3.733790e+000	4.320909e+000
3.325306736039474e-005	-3.732514e+000	4.319758e+000
3.333628278468760e-005	-3.731239e+000	4.318594e+000
3.341949820898045e-005	-3.729963e+000	4.317417e+000
3.350271363327331e-005	-3.728687e+000	4.316227e+000
3.358592905756616e-005	-3.727412e+000	4.315023e+000
3.399999999999996e-005	-3.721064e+000	4.308902e+000
3.408909513056809e-005	-3.719177e+000	4.307540e+000
3.417819026113622e-005	-3.717290e+000	4.306164e+000
3.426728539170434e-005	-3.715404e+000	4.304776e+000
3.435638052227247e-005	-3.713517e+000	4.303376e+000
3.444547565284060e-005	-3.711630e+000	4.301962e+000
3.453457078340873e-005	-3.709743e+000	4.300535e+000
3.462366591397686e-005	-3.707856e+000	4.299096e+000
3.462366891397685e-005	-3.707856e+000	4.299096e+000
3.462367291397683e-005	-3.707856e+000	4.299096e+000
3.462367591397682e-005	-3.707856e+000	4.299096e+000
3.464402745711235e-005	-3.707425e+000	4.298765e+000
3.466437900024789e-005	-3.706994e+000	4.298433e+000
3.468473054338343e-005	-3.706563e+000	4.298101e+000
3.470508208651896e-005	-3.706132e+000	4.297767e+000
3.472543362965449e-005	-3.705701e+000	4.297433e+000
3.474578517279003e-005	-3.705270e+000	4.297098e+000
3.476613671592557e-005	-3.704839e+000	4.296763e+000
3.476843359244636e-005	-3.704791e+000	4.296725e+000
3.476959011949172e-005	-3.704766e+000	4.296706e+000
3.476997628925217e-005	-3.704758e+000	4.296700e+000
3.477018189629918e-005	-3.704754e+000	4.296696e+000
3.477029060676277e-005	-3.704751e+000	4.296695e+000
3.477037897449040e-005	-3.704749e+000	4.296693e+000
3.477047903915420e-005	-3.704747e+000	4.296691e+000
3.477067916848159e-005	-3.704743e+000	4.296688e+000
3.477107942713659e-005	-3.704735e+000	4.296681e+000
3.477348097906613e-005	-3.704684e+000	4.296642e+000
3.477668304830567e-005	-3.704616e+000	4.296589e+000
3.478308718678452e-005	-3.704480e+000	4.296484e+000
3.479589546374244e-005	-3.704209e+000	4.296271e+000
3.481085947990969e-005	-3.703892e+000	4.296024e+000
3.482755340969120e-005	-3.703539e+000	4.295747e+000
3.484595141521325e-005	-3.703149e+000	4.295441e+000
3.487013307228344e-005	-3.702637e+000	4.295038e+000
3.490492481947197e-005	-3.701900e+000	4.294457e+000
3.493564787781785e-005	-3.701249e+000	4.293942e+000
3.497096125526533e-005	-3.700502e+000	4.293349e+000
3.501031423118950e-005	-3.699662e+000	4.292686e+000
3.505157115594798e-005	-3.698763e+000	4.291986e+000
3.510658038895914e-005	-3.697564e+000	4.291048e+000
3.520269787762377e-005	-3.695469e+000	4.289397e+000
3.532457801632164e-005	-3.692813e+000	4.287279e+000
3.554810849183210e-005	-3.687941e+000	4.283332e+000
3.578152652961085e-005	-3.682853e+000	4.279134e+000
3.600000000000001e-005	-3.678092e+000	4.275144e+000
3.611370356981043e-005	-3.676170e+000	4.273025e+000
3.625502040722735e-005	-3.673782e+000	4.270362e+000
3.646065230666342e-005	-3.670307e+000	4.266425e+000
3.666958867853867e-005	-3.666776e+000	4.262347e+000
3.703024116014108e-005	-3.660313e+000	4.255200e+000
3.710604079044727e-005	-3.658109e+000	4.253667e+000
3.718184042075345e-005	-3.655905e+000	4.252124e+000
3.725764005105964e-005	-3.653701e+000	4.250572e+000
3.733343968136582e-005	-3.651497e+000	4.249010e+000
3.740923931167201e-005	-3.649293e+000	4.247439e+000
3.748503894197819e-005	-3.647088e+000	4.245858e+000
3.756083857228438e-005	-3.644884e+000	4.244267e+000
3.801406559374512e-005	-3.631777e+000	4.234611e+000
3.904211469452209e-005	-3.607078e+000	4.211544e+000
3.933610942733416e-005	-3.599704e+000	4.204655e+000
3.963010416014623e-005	-3.592352e+000	4.197650e+000
3.992409889295830e-005	-3.585020e+000	4.190529e+000
4.021809362577037e-005	-3.577710e+000	4.183292e+000
4.051208835858244e-005	-3.570421e+000	4.175938e+000
4.080608309139451e-005	-3.563153e+000	4.168469e+000
4.110007782420658e-005	-3.555906e+000	4.160883e+000
4.208734056884581e-005	-3.535335e+000	4.134588e+000
4.224497229716676e-005	-3.529760e+000	4.130274e+000
4.240260402548771e-005	-3.524335e+000	4.125931e+000
4.256023575380867e-005	-3.519060e+000	4.121558e+000
4.271786748212963e-005	-3.513934e+000	4.117156e+000
4.287549921045058e-005	-3.508958e+000	4.112726e+000
4.303313093877153e-005	-3.504132e+000	4.108266e+000
4.319076266709248e-005	-3.499456e+000	4.103777e+000
4.346757538486507e-005	-3.492013e+000	4.095815e+000
4.374438810263765e-005	-3.484417e+000	4.087771e+000
4.402120082041024e-005	-3.476669e+000	4.079645e+000
4.429801353818282e-005	-3.468768e+000	4.071436e+000
4.457482625595540e-005	-3.460714e+000	4.063144e+000
4.485163897372799e-005	-3.452507e+000	4.054771e+000
4.512845169150057e-005	-3.444147e+000	4.046314e+000
4.527557923904794e-005	-3.438226e+000	4.041784e+000
4.542270678659532e-005	-3.432603e+000	4.037234e+000
4.556983433414269e-005	-3.427280e+000	4.032663e+000
4.571696188169005e-005	-3.422255e+000	4.028072e+000
4.586408942923742e-005	-3.417529e+000	4.023460e+000
4.601121697678479e-005	-3.413102e+000	4.018828e+000
4.615834452433216e-005	-3.408973e+000	4.014175e+000
4.643849606871363e-005	-3.403074e+000	4.005251e+000
4.671864761309510e-005	-3.396623e+000	3.996257e+000
4.699879915747656e-005	-3.389622e+000	3.987195e+000
4.727895070185804e-005	-3.382069e+000	3.978063e+000
4.755910224623950e-005	-3.373966e+000	3.968862e+000
4.783925379062097e-005	-3.365311e+000	3.959593e+000
4.811940533500244e-005	-3.356106e+000	3.950254e+000
4.839013287873985e-005	-3.347780e+000	3.941166e+000
4.866086042247726e-005	-3.339392e+000	3.932025e+000
4.893158796621467e-005	-3.330941e+000	3.922831e+000
4.920231550995208e-005	-3.322428e+000	3.913583e+000
4.947304305368949e-005	-3.313852e+000	3.904282e+000
4.974377059742689e-005	-3.305213e+000	3.894927e+000
5.001449814116430e-005	-3.296511e+000	3.885519e+000
5.016586051061782e-005	-3.290147e+000	3.880235e+000
5.031722288007135e-005	-3.283916e+000	3.874936e+000
5.046858524952487e-005	-3.277819e+000	3.869624e+000
