time	V(sin32)	V(vout)
2.919907328057404e-006	2.740773e+000	1.467605e+000
2.999999999999965e-006	2.737496e+000	1.466326e+000
3.009022095928817e-006	2.737121e+000	1.466182e+000
3.027066287786739e-006	2.736372e+000	1.465893e+000
3.166056818102902e-006	2.730596e+000	1.463663e+000
3.305047348419065e-006	2.724821e+000	1.461426e+000
3.444037878735228e-006	2.719046e+000	1.459183e+000
3.583028409051392e-006	2.713271e+000	1.456933e+000
3.722018939367555e-006	2.707496e+000	1.454677e+000
3.861009469683718e-006	2.701722e+000	1.452415e+000
3.999999999999880e-006	2.695947e+000	1.450145e+000
4.145632840956608e-006	2.688239e+000	1.447757e+000
4.291265681913336e-006	2.680565e+000	1.445361e+000
4.436898522870063e-006	2.672927e+000	1.442957e+000
4.582531363826791e-006	2.665322e+000	1.440546e+000
4.728164204783518e-006	2.657753e+000	1.438128e+000
4.873797045740246e-006	2.650217e+000	1.435702e+000
5.019429886696973e-006	2.642717e+000	1.433269e+000
5.201027895159895e-006	2.637496e+000	1.430223e+000
5.382625903622817e-006	2.631926e+000	1.427165e+000
5.564223912085739e-006	2.626007e+000	1.424096e+000
5.745821920548661e-006	2.619739e+000	1.421015e+000
5.927419929011582e-006	2.613122e+000	1.417923e+000
6.109017937474504e-006	2.606156e+000	1.414820e+000
6.290615945937425e-006	2.598840e+000	1.411705e+000
6.534813667946361e-006	2.588320e+000	1.407497e+000
6.779011389955298e-006	2.577774e+000	1.403269e+000
7.023209111964234e-006	2.567204e+000	1.399022e+000
7.267406833973170e-006	2.556609e+000	1.394756e+000
7.511604555982106e-006	2.545990e+000	1.390471e+000
7.755802277991043e-006	2.535345e+000	1.386166e+000
7.999999999999978e-006	2.524676e+000	1.381842e+000
8.156637405659056e-006	2.518029e+000	1.379055e+000
8.313274811318136e-006	2.511239e+000	1.376262e+000
8.469912216977215e-006	2.504305e+000	1.373461e+000
8.626549622636295e-006	2.497228e+000	1.370654e+000
8.783187028295373e-006	2.490008e+000	1.367840e+000
8.939824433954453e-006	2.482644e+000	1.365020e+000
9.096461839613532e-006	2.475137e+000	1.362193e+000
9.234277026698781e-006	2.467188e+000	1.359696e+000
9.372092213784031e-006	2.459390e+000	1.357194e+000
9.509907400869280e-006	2.451741e+000	1.354686e+000
9.647722587954530e-006	2.444241e+000	1.352174e+000
9.785537775039779e-006	2.436891e+000	1.349656e+000
9.923352962125029e-006	2.429690e+000	1.347132e+000
1.006116814921028e-005	2.422639e+000	1.344604e+000
1.021163036446204e-005	2.417781e+000	1.341835e+000
1.036209257971379e-005	2.412780e+000	1.339061e+000
1.051255479496555e-005	2.407637e+000	1.336280e+000
1.066301701021731e-005	2.402351e+000	1.333493e+000
1.081347922546907e-005	2.396924e+000	1.330700e+000
1.096394144072083e-005	2.391354e+000	1.327901e+000
1.111440365597258e-005	2.385642e+000	1.325096e+000
1.140477283684550e-005	2.372165e+000	1.319662e+000
1.169514201771842e-005	2.358823e+000	1.314207e+000
1.198551119859134e-005	2.345615e+000	1.308731e+000
1.227588037946426e-005	2.332540e+000	1.303234e+000
1.256624956033718e-005	2.319600e+000	1.297715e+000
1.285661874121010e-005	2.306794e+000	1.292176e+000
1.314698792208302e-005	2.294122e+000	1.286615e+000
1.329153317635435e-005	2.290218e+000	1.283838e+000
1.343607843062569e-005	2.285756e+000	1.281057e+000
1.358062368489702e-005	2.280737e+000	1.278272e+000
1.372516893916836e-005	2.275160e+000	1.275482e+000
1.386971419343969e-005	2.269026e+000	1.272687e+000
1.401425944771103e-005	2.262334e+000	1.269888e+000
1.415880470198236e-005	2.255085e+000	1.267084e+000
1.479289940828159e-005	2.217900e+000	1.254728e+000
1.479290040828159e-005	2.217900e+000	1.254728e+000
1.479290240828158e-005	2.217900e+000	1.254728e+000
1.479290640828157e-005	2.217899e+000	1.254728e+000
1.479290940828155e-005	2.217899e+000	1.254728e+000
1.479290957695414e-005	2.217899e+000	1.254728e+000
1.479290991429952e-005	2.217899e+000	1.254728e+000
1.479291058899030e-005	2.217899e+000	1.254728e+000
1.479291193837162e-005	2.217899e+000	1.254728e+000
1.479291463713449e-005	2.217899e+000	1.254728e+000
1.479292003466002e-005	2.217899e+000	1.254728e+000
1.479292751754499e-005	2.217898e+000	1.254728e+000
1.479293263945700e-005	2.217898e+000	1.254727e+000
1.479293777929044e-005	2.217897e+000	1.254727e+000
1.479294427408646e-005	2.217897e+000	1.254727e+000
1.479295092784473e-005	2.217897e+000	1.254727e+000
1.479296257492734e-005	2.217896e+000	1.254727e+000
1.479297532238602e-005	2.217895e+000	1.254727e+000
1.479298980084200e-005	2.217894e+000	1.254726e+000
1.479300641997082e-005	2.217893e+000	1.254726e+000
1.479302671398078e-005	2.217892e+000	1.254726e+000
1.479305249897970e-005	2.217891e+000	1.254725e+000
1.479308988173609e-005	2.217889e+000	1.254724e+000
1.479313617940709e-005	2.217886e+000	1.254724e+000
1.479316279527436e-005	2.217884e+000	1.254723e+000
1.479317848959933e-005	2.217883e+000	1.254723e+000
1.479319716649031e-005	2.217882e+000	1.254722e+000
1.479321759224471e-005	2.217881e+000	1.254722e+000
1.479323019640440e-005	2.217880e+000	1.254722e+000
1.479324919727971e-005	2.217879e+000	1.254721e+000
1.479326948177493e-005	2.217878e+000	1.254721e+000
1.479330892623868e-005	2.217876e+000	1.254720e+000
1.479335775211627e-005	2.217873e+000	1.254719e+000
1.479341958147691e-005	2.217869e+000	1.254718e+000
1.479349678839789e-005	2.217865e+000	1.254716e+000
1.479358584033385e-005	2.217860e+000	1.254715e+000
1.479367865185621e-005	2.217854e+000	1.254713e+000
1.479377816269003e-005	2.217848e+000	1.254711e+000
1.479387871652633e-005	2.217842e+000	1.254709e+000
1.479399825973326e-005	2.217835e+000	1.254707e+000
1.479411715700897e-005	2.217828e+000	1.254704e+000
1.479424900847448e-005	2.217821e+000	1.254702e+000
1.479439456494565e-005	2.217812e+000	1.254699e+000
1.479447560501592e-005	2.217807e+000	1.254697e+000
1.479454892589719e-005	2.217803e+000	1.254696e+000
1.479463256752228e-005	2.217798e+000	1.254694e+000
1.479474756561775e-005	2.217791e+000	1.254692e+000
1.479490291475603e-005	2.217782e+000	1.254689e+000
1.479510903600002e-005	2.217770e+000	1.254685e+000
1.479537516780043e-005	2.217755e+000	1.254680e+000
1.479572669193835e-005	2.217734e+000	1.254673e+000
1.479620076683076e-005	2.217706e+000	1.254664e+000
1.479676822496484e-005	2.217673e+000	1.254653e+000
1.479734985540006e-005	2.217639e+000	1.254641e+000
1.479807020785657e-005	2.217597e+000	1.254627e+000
1.479901239642483e-005	2.217541e+000	1.254609e+000
1.480047059700075e-005	2.217456e+000	1.254580e+000
1.480234832717500e-005	2.217346e+000	1.254543e+000
1.480452775597845e-005	2.217218e+000	1.254501e+000
1.480713285269622e-005	2.217065e+000	1.254450e+000
1.481041800389157e-005	2.216872e+000	1.254386e+000
1.481479734706265e-005	2.216616e+000	1.254300e+000
1.482104651345036e-005	2.216249e+000	1.254178e+000
1.483099435699645e-005	2.215666e+000	1.253983e+000
1.484488740423752e-005	2.214851e+000	1.253711e+000
1.486072862021603e-005	2.213922e+000	1.253401e+000
1.487685630120381e-005	2.212976e+000	1.253086e+000
1.489256749483831e-005	2.212055e+000	1.252778e+000
1.490788155386353e-005	2.211157e+000	1.252478e+000
1.492336059434867e-005	2.210249e+000	1.252175e+000
1.494027693506057e-005	2.209257e+000	1.251844e+000
1.495604548902899e-005	2.208332e+000	1.251535e+000
1.496575357163828e-005	2.207763e+000	1.251345e+000
1.497634805443324e-005	2.207142e+000	1.251138e+000
1.498793301468477e-005	2.206462e+000	1.250911e+000
1.500000000000004e-005	2.205755e+000	1.250674e+000
1.500120863904501e-005	2.205698e+000	1.250650e+000
1.500362591713494e-005	2.205583e+000	1.250603e+000
1.500846047331459e-005	2.205354e+000	1.250508e+000
1.501812958567390e-005	2.204896e+000	1.250319e+000
1.503153482767475e-005	2.204261e+000	1.250056e+000
1.504638329687265e-005	2.203558e+000	1.249765e+000
1.506039614353107e-005	2.202895e+000	1.249490e+000
1.507425858517336e-005	2.202238e+000	1.249218e+000
1.509062729608112e-005	2.201463e+000	1.248897e+000
1.510655008520045e-005	2.200709e+000	1.248585e+000
1.512304256756462e-005	2.199928e+000	1.248261e+000
1.513503954613860e-005	2.199360e+000	1.248026e+000
1.514437879429772e-005	2.198918e+000	1.247843e+000
1.515498656552206e-005	2.198415e+000	1.247635e+000
1.518929237275240e-005	2.196791e+000	1.246961e+000
1.520219507919235e-005	2.196180e+000	1.246708e+000
1.521514358041758e-005	2.195567e+000	1.246453e+000
1.522890264782210e-005	2.194915e+000	1.246183e+000
1.524284117688417e-005	2.194255e+000	1.245909e+000
